Site-Site,Can.dist.log,Song.dist.log,Euc.dist.log
Ross-Martell,6.001291407,1.237054008,3.551827402
Ross-Stephen's Woods,6.316726869,1.331788512,4.666264322
Ross-Moyer Gould,6.29998513,1.262375688,4.559125042
Ross-Nelson Stokes,6.325100669,1.268425134,4.861788235
Ross-Crows Grove,6.187486032,1.274922036,4.349556125
Ross-Cates Clawson,6.266417985,1.245298305,4.715209036
Ross-Ferguson,6.276136076,1.401046063,4.706490379
Ross-Whistler Hare,6.187531437,1.186044877,4.411212339
Ross-Walnut Fork,6.185276057,1.235474157,4.616933702
Ross-Waser,6.164934599,1.263403601,4.414791491
Martell-Stephen's Woods,6.304571735,1.384431834,4.632004986
Martell-Moyer Gould,6.286613183,1.346675906,4.514370506
Martell-Nelson Stokes,6.326965745,1.355976038,4.875049364
Martell-Crows Grove,6.201119524,1.341147147,4.405906722
Martell-Cates Clawson,6.271654146,1.336885171,4.743553341
Martell-Ferguson,6.268040387,1.400636322,4.688101282
Martell-Whistler Hare,6.198530078,1.305671221,4.467326411
Martell-Walnut Fork,6.186340884,1.327393652,4.632319187
Martell-Waser,6.146045822,1.327141291,4.355037642
Stephen's-Moyer Gould,6.23981932,1.262467929,4.021140986
Stephen's-Nelson Stokes,6.449027363,1.330342553,5.015743052
Stephen's-Crows Grove,6.391115673,1.323426206,4.829508036
Stephen's-Cates Clawson,6.417922196,1.316319875,4.985880844
Stephen's-Ferguson,6.344127686,1.417043003,4.557366593
Stephen's-Whistler Hare,6.379871454,1.312534155,4.855699953
Stephen's-Walnut Fork,6.343719481,1.300456224,4.839506323
Stephen's-Waser,6.226502726,1.333399116,4.328067166
Moyer Gould-Nelson Stokes,6.439971663,1.278740687,4.988647425
Moyer Gould-Crows Grove,6.378372642,1.319064691,4.756618135
Moyer Gould-Cates Clawson,6.407389885,1.277454798,4.941004364
Moyer Gould-Ferguson,6.341219995,1.373880221,4.571524596
Moyer Gould-Whistler Hare,6.36742954,1.274296362,4.791140121
Moyer Gould-Walnut Fork,6.332333813,1.291291585,4.797246809
Moyer Gould-Waser,6.200018854,1.281987272,4.102649564
Nelson Stokes-Crows Grove,6.354006387,1.331161276,4.867298758
Nelson Stokes-Cates Clawson,6.299446062,1.265574334,4.677081549
Nelson Stokes-Ferguson,6.389756678,1.415598525,4.892819842
Nelson Stokes-Whistler Hare,6.31786765,1.26576317,4.7678554
Nelson Stokes-Walnut Fork,6.229000051,1.265769784,4.540654386
Nelson Stokes-Waser,6.349901414,1.29775593,4.929084452
Crows Grove-Cates Clawson,6.277372408,1.249973191,4.587024709
Crows Grove-Ferguson,6.345906321,1.377881181,4.858934522
Crows Grove-Whistler Hare,6.160440318,1.279154558,4.180899257
Crows Grove-Walnut Fork,6.23577229,1.337313496,4.699859059
Crows Grove-Waser,6.270130324,1.268424568,4.681714704
Cates Clawson-Ferguson,6.362365403,1.395900102,4.942254796
Cates Clawson-Whistler Hare,6.221513345,1.235829518,4.423429255
Cates Clawson-Walnut Fork,6.208962412,1.285737478,4.653319501
Cates Clawson-Waser,6.30846666,1.305720351,4.878125453
Ferguson-Whistler Hare,6.32795346,1.40548147,4.836661278
Ferguson-Walnut Fork,6.26565869,1.395297544,4.673772526
Ferguson-Waser,6.239311744,1.354947583,4.510428392
Whistler Hare-Walnut Fork,6.194351416,1.270017025,4.57635818
Whistler Hare-Waser,6.256593644,1.267640613,4.705214889
Walnut Fork-Waser,6.213283945,1.314748288,4.701075606
