,Ross,Stephen's Woods,Moyer Gould,Nelson Stokes,Crows Grove,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Nardi,Waser,Big Walnut,Finley Woods,Fern Cliff,Chaney
Stephen's Woods,4.1177604,,,,,,,,,,,,,,,,
Moyer Gould,5.2248161,4.939715,,,,,,,,,,,,,,,
Nelson Stokes,2.0217641,4.3561568,5.4969584,,,,,,,,,,,,,,
Crows Grove,3.4928257,2.328227,4.6696831,3.4050402,,,,,,,,,,,,,
Cates Clawson,3.4610981,3.4796188,3.489493,2.9270955,1.9847641,,,,,,,,,,,,
Ferguson,2.8804119,2.8379165,4.8323608,4.264515,3.2180633,3.8775676,,,,,,,,,,,
Whistler Hare,3.4459049,2.6823329,4.2250334,3.34096,0.5909751,1.5210686,3.3171071,,,,,,,,,,
Walnut Fork,3.4658253,2.8091278,4.4829938,3.2735717,0.5548189,1.6045456,3.4510547,0.2920715,,,,,,,,,
McCloud,1.8443855,3.5947885,5.6778021,2.0473897,2.4749587,3.1477925,3.425336,2.5881125,2.5047109,,,,,,,,
Turkey Run,1.5630666,3.5019294,5.4565661,1.47911,2.5942853,2.9526153,3.3946455,2.6726239,2.6142496,0.6782465,,,,,,,
Nardi,2.3400148,3.5772739,4.5811716,2.2342884,3.807907,3.3341272,3.5797836,3.7696945,3.8615588,3.0701127,2.4563408,,,,,,
Waser,1.4554395,3.962443,6.1950536,2.694349,3.3539751,4.0668417,2.9059149,3.509485,3.4646196,1.4222627,1.5802356,3.287601,,,,,
Big Walnut,1.5460974,3.7622849,5.2284132,1.560124,2.5586142,2.7497233,3.4879307,2.5283838,2.4741087,0.703039,0.5813991,2.6950684,1.7356851,,,,
Finley Woods,1.8995324,4.0651056,4.0302776,1.7405959,3.4718252,2.5883446,3.7094363,3.2476135,3.3310759,2.6400754,2.1198061,1.4499305,3.1145011,2.0267529,,,
Fern Cliff,1.5837449,3.4096556,4.5405425,1.5858098,3.1052375,2.7871529,3.2547831,3.0466677,3.1095682,2.0888132,1.5021716,1.0507829,2.4931367,1.6604321,0.9790358,,
Chaney,2.6828449,3.2839185,5.9422897,4.0463904,4.1560434,4.9009662,2.3141942,4.3720928,4.4628984,3.2191932,3.0890671,3.0241457,2.4686636,3.4048114,3.6630168,2.895989,
Raccoon Lake,3.5388741,1.2675805,4.0408303,3.5388853,1.6369328,2.2395482,2.8033112,1.7754046,1.9426892,3.1172404,2.9339589,2.9637693,3.7214174,3.0764533,3.138776,2.6906629,3.5670259
