,Ross,Martell,Cates Clawson,Ferguson,Whistler Hare,Walnut Fork,McCloud,Turkey Run,Waser,Big Walnut,Finley Woods,Fern Cliff,Chaney
Martell,3563.095,,,,,,,,,,,,
Cates Clawson,51904.981,55405.559,,,,,,,,,,,
Ferguson,50873.355,48764.22,87549.727,,,,,,,,,,
Whistler Hare,25775.811,29330.969,26511.192,68653.278,,,,,,,,,
Walnut Fork,41393.648,42886.36,45011.087,47181.585,37701.461,,,,,,,,
McCloud,72608.63,73714.494,66661.436,59906.63,67862.515,31703.681,,,,,,,
Turkey Run,59111.569,62058.528,24178.461,79830.292,39353.181,32723.75,44835.716,,,,,,
Waser,25989.115,22648.406,75531.038,32391.301,50724.163,50243.005,76179.999,77274.907,,,,,
Big Walnut,72489.155,73993.852,60431.327,65872.206,64627.662,31115.355,8808.213,37591.066,79016.478,,,,
Finley Woods,97606.17,100000.934,64613.438,101420.767,81239.994,59967.093,43848.096,42368.421,110207.7,36117.252,,,
Fern Cliff,89198.513,91436.573,60395.433,91334.316,74414.112,50528.709,34030.881,36824.406,100737.795,26092.225,10096.28,,
Chaney,118430.255,120280.435,92454.369,110421.997,105927.446,77653.623,50950.613,68980.301,126254.335,47251.958,29180.945,32158.35,
Raccoon Lake,73226.775,75760.524,42359.113,83364.518,56587.474,38040.803,34795.55,18543.264,87585.252,26118.285,24750.343,18293.485,50441.067
