site,longitude,latitude
Ross,-87.0691911,40.409911
Martell,-87.0389271,40.432151
Stephen's Forest,-86.6204792,40.6490137
Moyer Gould,-86.7359028,40.6142889
Nelson Stokes,-86.985,39.7579866
Crows Grove,-87.3266369,40.3673443
Cates Clawson,-87.418,40.0264923
Ferguson,-86.476528,40.343167
Whistler Hare,-87.272,40.2373179
Walnut Fork,-86.892647,40.0625468
McCloud,-86.6823514,39.827326
Turkey Run,-87.2005212,39.8871804
Nardi,-87.2863402,39.7422531
Waser,-86.7911748,40.5083
Big Walnut,-86.7772763,39.7967606
Finley Forest,-87.0211348,39.5316239
Fern Cliff,-86.9631617,39.6107208
Chaney,-86.752175,39.3716129
Raccoon Lake,-87.076162,39.750447
